date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2022-12-09,Group A,MS,Kodai NARAOKA Rank 14 Elo 2237 (+23),21-19 / 21-15,LU Guang Zu Rank 17 Elo 2210 (-24),58,https://badmintonranks.com/tournament?id=12828,2,Kodai NARAOKA,14,2237,LU Guang Zu,17,2210
2022-12-09,Group A,XD,ZHENG .. / HUANG .. (1) Rank 3 Elo 2480 (+0),W.O.,GOH Soo.. / LAI Shev.. (4) Rank 11 Elo 1963 (-0),0,https://badmintonranks.com/tournament?id=12828,2,ZHENG .. / HUANG .. (1),3,2480,GOH Soo.. / LAI Shev.. (4),11,1963
2022-12-09,Group A,MS,PRANNOY H. S. (3) Rank 12 Elo 2164 (+48),14-21 / 21-17 / 21-18,Viktor AXELSEN (1) Rank 1 Elo 2675 (-48),51,https://badmintonranks.com/tournament?id=12828,2,PRANNOY H. S. (3),12,2164,Viktor AXELSEN (1),1,2675
2022-12-09,Group A,MD,CHOI Sol.. / KIM Won .. Rank 15 Elo 1979 (+35),21-11 / 21-19,Takuro H.. / Yugo KOB.. Rank 1 Elo 2095 (-34),40,https://badmintonranks.com/tournament?id=12828,2,CHOI Sol.. / KIM Won ..,15,1979,Takuro H.. / Yugo KOB..,1,2095
2022-12-09,Group B,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2285 (+19),23-21 / 21-13,WANG Yi.. / HUANG .. (3) Rank 4 Elo 2207 (-20),43,https://badmintonranks.com/tournament?id=12828,2,Dechapol.. / Sapsiree .. (2),1,2285,WANG Yi.. / HUANG .. (3),4,2207
2022-12-09,Group B,XD,TAN Kian.. / LAI Pei Jin.. Rank 8 Elo 1981 (+25),21-17 / 22-20,Supak JO.. / Supissara .. Rank 12 Elo 1960 (-25),41,https://badmintonranks.com/tournament?id=12828,2,TAN Kian.. / LAI Pei Jin..,8,1981,Supak JO.. / Supissara ..,12,1960
2022-12-09,Group B,MS,Anthony Sinisuka GINTI.. Rank 7 Elo 2338 (+21),21-12 / 23-21,LOH Kean Yew Rank 3 Elo 2278 (-21),38,https://badmintonranks.com/tournament?id=12828,2,Anthony Sinisuka GINTI..,7,2338,LOH Kean Yew,3,2278
2022-12-09,Group A,MD,ONG Yew.. / TEO Ee .. (3) Rank 8 Elo 2045 (+39),10-21 / 21-17 / 21-19,Fajar ALF.. / Muhamm.. (1) Rank 3 Elo 2237 (-38),53,https://badmintonranks.com/tournament?id=12828,2,ONG Yew.. / TEO Ee .. (3),8,2045,Fajar ALF.. / Muhamm.. (1),3,2237
2022-12-09,Group A,WD,Benyapa .. / Nuntakar.. (3) Rank 13 Elo 1956 (+38),21-15 / 21-8,JEONG .. / KIM Hye .. (1) Rank 5 Elo 2110 (-36),34,https://badmintonranks.com/tournament?id=12828,2,Benyapa .. / Nuntakar.. (3),13,1956,JEONG .. / KIM Hye .. (1),5,2110
2022-12-09,Group A,WD,Jongkolp.. / Rawinda .. Rank 6 Elo 2043 (+6),21-10 / 21-17,Vivian H.. / LIM Chiew.. Rank 24 Elo 1678 (-10),37,https://badmintonranks.com/tournament?id=12828,2,Jongkolp.. / Rawinda ..,6,2043,Vivian H.. / LIM Chiew..,24,1678
