date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2023-12-17,Final,MS,Viktor AXELSEN Rank 1 Elo 2567 (+12),21-11 / 21-12,SHI Yu Qi Rank 7 Elo 2360 (-13),49,https://badmintonranks.com/tournament?id=11086,1,Viktor AXELSEN,1,2567,SHI Yu Qi,7,2360
2023-12-17,Final,XD,ZHENG .. / HUANG Y.. Rank 1 Elo 2523 (+16),21-11 / 21-18,FENG Ya.. / HUANG D.. Rank 4 Elo 2362 (-15),48,https://badmintonranks.com/tournament?id=11086,1,ZHENG .. / HUANG Y..,1,2523,FENG Ya.. / HUANG D..,4,2362
2023-12-17,Final,WS,TAI Tzu Ying Rank 4 Elo 2470 (+29),12-21 / 21-14 / 21-18,Carolina MARIN Rank 5 Elo 2492 (-29),73,https://badmintonranks.com/tournament?id=11086,1,TAI Tzu Ying,4,2470,Carolina MARIN,5,2492
2023-12-17,Final,WD,CHEN Qi.. / JIA Yi Fan Rank 1 Elo 2417 (+24),21-16 / 21-16,BAEK Ha.. / LEE So H.. Rank 2 Elo 2376 (-24),62,https://badmintonranks.com/tournament?id=11086,1,CHEN Qi.. / JIA Yi Fan,1,2417,BAEK Ha.. / LEE So H..,2,2376
2023-12-17,Final,MD,KANG Mi.. / SEO Seun.. Rank 6 Elo 2176 (+34),21-17 / 22-20,LIANG W.. / WANG Ch.. Rank 1 Elo 2250 (-33),43,https://badmintonranks.com/tournament?id=11086,1,KANG Mi.. / SEO Seun..,6,2176,LIANG W.. / WANG Ch..,1,2250
2023-12-16,Semi final,XD,FENG Ya.. / HUANG D.. Rank 4 Elo 2348 (+14),21-19 / 23-21,Yuta WAT.. / Arisa IGA.. Rank 2 Elo 2169 (-14),63,https://badmintonranks.com/tournament?id=11086,1,FENG Ya.. / HUANG D..,4,2348,Yuta WAT.. / Arisa IGA..,2,2169
2023-12-16,Semi final,XD,ZHENG .. / HUANG Y.. Rank 1 Elo 2509 (+14),21-12 / 21-5,SEO Seu.. / CHAE Yu .. Rank 3 Elo 2334 (-15),38,https://badmintonranks.com/tournament?id=11086,1,ZHENG .. / HUANG Y..,1,2509,SEO Seu.. / CHAE Yu ..,3,2334
2023-12-16,Semi final,MS,Viktor AXELSEN Rank 1 Elo 2556 (+11),21-9 / 21-14,Anders ANTONSEN Rank 11 Elo 2305 (-10),56,https://badmintonranks.com/tournament?id=11086,1,Viktor AXELSEN,1,2556,Anders ANTONSEN,11,2305
2023-12-16,Semi final,MS,SHI Yu Qi Rank 7 Elo 2330 (+30),21-16 / 21-15,Jonatan CHRISTIE Rank 6 Elo 2367 (-29),55,https://badmintonranks.com/tournament?id=11086,1,SHI Yu Qi,7,2330,Jonatan CHRISTIE,6,2367
2023-12-16,Semi final,WS,Carolina MARIN Rank 5 Elo 2454 (+38),21-17 / 19-21 / 21-13,CHEN Yu Fei Rank 2 Elo 2620 (-39),104,https://badmintonranks.com/tournament?id=11086,1,Carolina MARIN,5,2454,CHEN Yu Fei,2,2620
2023-12-16,Semi final,WS,TAI Tzu Ying Rank 4 Elo 2425 (+45),19-21 / 21-15 / 22-20,AN Se Young Rank 1 Elo 2704 (-44),72,https://badmintonranks.com/tournament?id=11086,1,TAI Tzu Ying,4,2425,AN Se Young,1,2704
2023-12-16,Semi final,MD,LIANG W.. / WANG Ch.. Rank 1 Elo 2235 (+15),22-20 / 12-21 / 21-16,Fajar ALF.. / Muhamma.. Rank 5 Elo 2071 (-15),62,https://badmintonranks.com/tournament?id=11086,1,LIANG W.. / WANG Ch..,1,2235,Fajar ALF.. / Muhamma..,5,2071
2023-12-16,Semi final,WD,CHEN Qi.. / JIA Yi Fan Rank 1 Elo 2404 (+13),21-12 / 21-15,LIU Shen.. / TAN Ning Rank 9 Elo 2219 (-14),50,https://badmintonranks.com/tournament?id=11086,1,CHEN Qi.. / JIA Yi Fan,1,2404,LIU Shen.. / TAN Ning,9,2219
2023-12-16,Semi final,MD,KANG Mi.. / SEO Seun.. Rank 6 Elo 2143 (+33),21-13 / 21-12,LIU Yu C.. / OU Xuan .. Rank 8 Elo 2221 (-33),37,https://badmintonranks.com/tournament?id=11086,1,KANG Mi.. / SEO Seun..,6,2143,LIU Yu C.. / OU Xuan ..,8,2221
2023-12-16,Semi final,WD,BAEK Ha.. / LEE So H.. Rank 2 Elo 2353 (+23),21-17 / 18-21 / 21-18,Nami MA.. / Chiharu S.. Rank 4 Elo 2302 (-23),121,https://badmintonranks.com/tournament?id=11086,1,BAEK Ha.. / LEE So H..,2,2353,Nami MA.. / Chiharu S..,4,2302
2023-12-15,Group A,XD,FENG Ya.. / HUANG D.. Rank 4 Elo 2333 (+15),21-16 / 19-21 / 21-17,Yuta WAT.. / Arisa IGA.. Rank 2 Elo 2185 (-16),72,https://badmintonranks.com/tournament?id=11086,1,FENG Ya.. / HUANG D..,4,2333,Yuta WAT.. / Arisa IGA..,2,2185
2023-12-15,Group A,XD,Dechapol.. / Sapsiree .. Rank 6 Elo 2129 (+21),18-21 / 21-18 / 21-14,CHEN Ta.. / TOH Ee W.. Rank 8 Elo 2070 (-21),70,https://badmintonranks.com/tournament?id=11086,1,Dechapol.. / Sapsiree ..,6,2129,CHEN Ta.. / TOH Ee W..,8,2070
