date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-01-31,Final,XD,Dechapol.. / Sapsiree .. Rank 3 Elo 2280 (+11),21-18 / 8-21 / 21-8,SEO Seu.. / CHAE Yu .. Rank 6 Elo 2199 (-11),57,https://badmintonranks.com/tournament?id=10618,1,Dechapol.. / Sapsiree ..,3,2280,SEO Seu.. / CHAE Yu ..,6,2199
2021-01-31,Final,MS,Anders ANTONSEN Rank 3 Elo 2395 (+19),21-16 / 5-21 / 21-17,Viktor AXELSEN Rank 4 Elo 2559 (-19),60,https://badmintonranks.com/tournament?id=10618,1,Anders ANTONSEN,3,2395,Viktor AXELSEN,4,2559
2021-01-31,Final,WS,TAI Tzu Ying Rank 1 Elo 2587 (+11),14-21 / 21-8 / 21-19,Carolina MARIN Rank 6 Elo 2515 (-11),67,https://badmintonranks.com/tournament?id=10618,1,TAI Tzu Ying,1,2587,Carolina MARIN,6,2515
2021-01-31,Final,MD,LEE Yang / WANG Ch.. Rank 7 Elo 2281 (+14),21-17 / 23-21,Hendra S.. / Mohamma.. Rank 2 Elo 2299 (-14),37,https://badmintonranks.com/tournament?id=10618,1,LEE Yang / WANG Ch..,7,2281,Hendra S.. / Mohamma..,2,2299
2021-01-31,Final,WD,LEE So H.. / SHIN Seu.. Rank 4 Elo 2201 (+14),15-21 / 26-24 / 21-19,KIM So Y.. / KONG He.. Rank 6 Elo 2215 (-14),92,https://badmintonranks.com/tournament?id=10618,1,LEE So H.. / SHIN Seu..,4,2201,KIM So Y.. / KONG He..,6,2215
2021-01-30,Semi final,XD,SEO Seu.. / CHAE Yu .. Rank 6 Elo 2190 (+9),21-19 / 21-8,GOH Soo.. / LAI Shevo.. Rank 12 Elo 2051 (-8),39,https://badmintonranks.com/tournament?id=10618,1,SEO Seu.. / CHAE Yu ..,6,2190,GOH Soo.. / LAI Shevo..,12,2051
2021-01-30,Semi final,MS,Viktor AXELSEN Rank 4 Elo 2553 (+6),21-16 / 21-9,CHOU Tien Chen Rank 2 Elo 2358 (-7),45,https://badmintonranks.com/tournament?id=10618,1,Viktor AXELSEN,4,2553,CHOU Tien Chen,2,2358
2021-01-30,Semi final,XD,Dechapol.. / Sapsiree .. Rank 3 Elo 2275 (+5),21-15 / 21-17,Thom GI.. / Delphine .. Rank 15 Elo 2030 (-6),44,https://badmintonranks.com/tournament?id=10618,1,Dechapol.. / Sapsiree ..,3,2275,Thom GI.. / Delphine ..,15,2030
2021-01-30,Semi final,MS,Anders ANTONSEN Rank 3 Elo 2387 (+8),21-18 / 14-21 / 21-16,WANG Tzu Wei Rank 12 Elo 2234 (-8),80,https://badmintonranks.com/tournament?id=10618,1,Anders ANTONSEN,3,2387,WANG Tzu Wei,12,2234
2021-01-30,Semi final,WS,Carolina MARIN Rank 6 Elo 2510 (+5),21-13 / 21-13,Pornpawee CHOCHUW.. Rank 13 Elo 2244 (-5),40,https://badmintonranks.com/tournament?id=10618,1,Carolina MARIN,6,2510,Pornpawee CHOCHUW..,13,2244
