date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-12-05,Final,MS,Viktor AXELSEN Rank 1 Elo 2611 (+5),21-12 / 21-8,Kunlavut VITIDSARN Rank 23 Elo 2199 (-5),43,https://badmintonranks.com/tournament?id=11068,1,Viktor AXELSEN,1,2611,Kunlavut VITIDSARN,23,2199
2021-12-05,Final,MD,Takuro H.. / Yugo KOB.. Rank 6 Elo 2277 (+34),21-16 / 13-21 / 21-17,Marcus G.. / Kevin SU.. Rank 1 Elo 2366 (-34),61,https://badmintonranks.com/tournament?id=11068,1,Takuro H.. / Yugo KOB..,6,2277,Marcus G.. / Kevin SU..,1,2366
2021-12-05,Final,WS,AN Se Young Rank 6 Elo 2475 (+17),21-16 / 21-12,PUSARLA V. Sindhu Rank 7 Elo 2342 (-18),39,https://badmintonranks.com/tournament?id=11068,1,AN Se Young,6,2475,PUSARLA V. Sindhu,7,2342
2021-12-05,Final,XD,Dechapol.. / Sapsiree .. Rank 2 Elo 2373 (+28),21-19 / 21-11,Yuta WAT.. / Arisa IGA.. Rank 4 Elo 2378 (-28),40,https://badmintonranks.com/tournament?id=11068,1,Dechapol.. / Sapsiree ..,2,2373,Yuta WAT.. / Arisa IGA..,4,2378
2021-12-05,Final,WD,KIM So Y.. / KONG He.. Rank 4 Elo 2148 (+36),21-14 / 21-14,Nami MA.. / Chiharu S.. Rank 7 Elo 2257 (-36),44,https://badmintonranks.com/tournament?id=11068,1,KIM So Y.. / KONG He..,4,2148,Nami MA.. / Chiharu S..,7,2257
2021-12-04,Semi final,MS,Viktor AXELSEN Rank 1 Elo 2608 (+3),21-13 / 21-11,Lakshya SEN Rank 21 Elo 2135 (-3),39,https://badmintonranks.com/tournament?id=11068,1,Viktor AXELSEN,1,2608,Lakshya SEN,21,2135
2021-12-04,Semi final,MD,Marcus G.. / Kevin SU.. Rank 1 Elo 2348 (+18),18-21 / 23-21 / 21-17,LEE Yang / WANG Ch.. Rank 3 Elo 2233 (-18),61,https://badmintonranks.com/tournament?id=11068,1,Marcus G.. / Kevin SU..,1,2348,LEE Yang / WANG Ch..,3,2233
2021-12-04,Semi final,MS,Kunlavut VITIDSARN Rank 23 Elo 2160 (+39),21-18 / 21-18,LEE Zii Jia Rank 8 Elo 2321 (-39),44,https://badmintonranks.com/tournament?id=11068,1,Kunlavut VITIDSARN,23,2160,LEE Zii Jia,8,2321
2021-12-04,Semi final,MD,Takuro H.. / Yugo KOB.. Rank 6 Elo 2263 (+14),21-18 / 21-15,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2077 (-14),39,https://badmintonranks.com/tournament?id=11068,1,Takuro H.. / Yugo KOB..,6,2263,ONG Yew.. / TEO Ee Yi,12,2077
2021-12-04,Semi final,WS,PUSARLA V. Sindhu Rank 7 Elo 2301 (+41),21-15 / 15-21 / 21-19,Akane YAMAGUCHI Rank 3 Elo 2499 (-40),70,https://badmintonranks.com/tournament?id=11068,1,PUSARLA V. Sindhu,7,2301,Akane YAMAGUCHI,3,2499
