date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2023-06-18,Final,MS,Viktor AXELSEN (1) Rank 1 Elo 2567 (+18),21-14 / 21-13,Anthony Sinisuka GIN.. (2) Rank 2 Elo 2440 (-18),47,https://badmintonranks.com/tournament?id=13710,1
2023-06-18,Final,MD,Satwiksai.. / Chirag S.. (7) Rank 6 Elo 2182 (+29),21-17 / 21-18,Aaron CH.. / SOH Wo.. (2) Rank 3 Elo 2193 (-29),43,https://badmintonranks.com/tournament?id=13710,1
2023-06-18,Final,WD,BAEK Ha.. / LEE So H.. (5) Rank 2 Elo 2327 (+14),22-20 / 21-10,Yuki FUK.. / Sayaka H.. (7) Rank 9 Elo 2154 (-15),68,https://badmintonranks.com/tournament?id=13710,1
2023-06-18,Final,WS,CHEN Yu Fei (4) Rank 4 Elo 2556 (+18),21-18 / 21-19,Carolina MARIN (6) Rank 6 Elo 2430 (-18),64,https://badmintonranks.com/tournament?id=13710,1
2023-06-18,Final,XD,ZHENG .. / HUANG .. (1) Rank 1 Elo 2448 (+15),21-14 / 21-11,Yuta WAT.. / Arisa IGA.. (2) Rank 3 Elo 2281 (-15),35,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,MS,Anthony Sinisuka GIN.. (2) Rank 2 Elo 2421 (+19),21-17 / 21-15,LI Shi Feng Rank 10 Elo 2313 (-19),51,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,MD,Aaron CH.. / SOH Wo.. (2) Rank 3 Elo 2175 (+18),12-21 / 23-21 / 21-13,Pramudy.. / Yeremia E.. Rank 25 Elo 2048 (-18),57,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,WD,Yuki FUK.. / Sayaka H.. (7) Rank 9 Elo 2124 (+30),21-16 / 12-21 / 21-13,Mayu MA.. / Wakana N.. Rank 10 Elo 2160 (-30),80,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,MS,Viktor AXELSEN (1) Rank 1 Elo 2558 (+9),21-15 / 21-15,PRANNOY H. S. (7) Rank 9 Elo 2289 (-9),46,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,MD,Satwiksai.. / Chirag S.. (7) Rank 6 Elo 2153 (+29),17-21 / 21-19 / 21-18,KANG Mi.. / SEO Seun.. Rank 12 Elo 2177 (-29),67,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,WD,BAEK Ha.. / LEE So H.. (5) Rank 2 Elo 2316 (+11),21-13 / 21-10,JEONG .. / KIM Hye .. (6) Rank 7 Elo 2069 (-10),52,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,WS,Carolina MARIN (6) Rank 6 Elo 2413 (+17),21-12 / 21-11,Ratchanok INTANON (8) Rank 8 Elo 2270 (-16),43,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,XD,Yuta WAT.. / Arisa IGA.. (2) Rank 3 Elo 2271 (+10),22-20 / 11-21 / 21-16,TANG Ch.. / TSE Ying .. Rank 21 Elo 2014 (-10),60,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2516 (+40),21-8 / 21-17,AN Se Young (2) Rank 2 Elo 2705 (-40),46,https://badmintonranks.com/tournament?id=13710,1
2023-06-17,Semi final,XD,ZHENG .. / HUANG .. (1) Rank 1 Elo 2438 (+10),21-19 / 21-10,FENG Ya.. / HUANG .. (6) Rank 5 Elo 2169 (-9),42,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,MD,Pramudy.. / Yeremia E.. Rank 25 Elo 2005 (+43),16-21 / 21-17 / 21-19,LIANG W.. / WANG C.. (6) Rank 2 Elo 2231 (-41),60,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,MD,KANG Mi.. / SEO Seun.. Rank 12 Elo 2158 (+19),21-14 / 21-10,Leo Rolly.. / Daniel MA.. Rank 10 Elo 2062 (-20),31,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,MD,Aaron CH.. / SOH Wo.. (2) Rank 3 Elo 2159 (+16),21-10 / 21-15,Akira KO.. / Taichi SAI.. Rank 24 Elo 2022 (-17),41,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,MS,Anthony Sinisuka GIN.. (2) Rank 2 Elo 2405 (+16),21-19 / 21-16,Jonatan CHRISTIE (6) Rank 7 Elo 2263 (-17),51,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,MS,Viktor AXELSEN (1) Rank 1 Elo 2552 (+6),21-5 / 21-19,CHOU Tien Chen (5) Rank 8 Elo 2188 (-6),39,https://badmintonranks.com/tournament?id=13710,1
2023-06-16,Quarter final,WD,BAEK Ha.. / LEE So H.. (5) Rank 2 Elo 2282 (+34),21-18 / 21-12,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2392 (-34),54,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WD,Yuki FUK.. / Sayaka H.. (7) Rank 9 Elo 2101 (+23),21-13 / 21-13,Apriyani .. / Siti Fadia.. (4) Rank 6 Elo 2055 (-24),61,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WD,Mayu MA.. / Wakana N.. Rank 10 Elo 2143 (+17),21-16 / 21-12,Rena MI.. / Ayako SA.. Rank 17 Elo 2016 (-18),35,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,MS,PRANNOY H. S. (7) Rank 9 Elo 2261 (+28),21-18 / 21-16,Kodai NARAOKA (3) Rank 4 Elo 2291 (-29),55,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,MD,Satwiksai.. / Chirag S.. (7) Rank 6 Elo 2123 (+30),21-13 / 21-13,Fajar ALF.. / Muhamm.. (1) Rank 1 Elo 2164 (-30),41,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,XD,ZHENG .. / HUANG .. (1) Rank 1 Elo 2436 (+2),21-14 / 21-10,Mathias T.. / Amalie M.. Rank 27 Elo 1897 (-3),31,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WD,JEONG .. / KIM Hye .. (6) Rank 7 Elo 2037 (+32),21-19 / 12-21 / 21-18,ZHANG .. / ZHENG .. (3) Rank 3 Elo 2107 (-32),97,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,MS,LI Shi Feng Rank 10 Elo 2298 (+15),21-14 / 14-21 / 21-12,KIDAMBI Srikanth Rank 22 Elo 2139 (-16),69,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WS,AN Se Young (2) Rank 2 Elo 2696 (+9),21-18 / 19-21 / 21-11,HE Bing Jiao (5) Rank 5 Elo 2419 (-9),82,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WS,CHEN Yu Fei (4) Rank 4 Elo 2511 (+5),21-11 / 21-19,KIM Ga Eun Rank 27 Elo 2123 (-5),47,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,XD,FENG Ya.. / HUANG .. (6) Rank 5 Elo 2138 (+31),13-21 / 21-13 / 21-12,Dechapol.. / Sapsiree .. (3) Rank 2 Elo 2192 (-30),71,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,XD,Yuta WAT.. / Arisa IGA.. (2) Rank 3 Elo 2259 (+12),21-11 / 21-18,Rinov RI.. / Pitha Hani.. Rank 15 Elo 2052 (-13),45,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WS,Carolina MARIN (6) Rank 6 Elo 2373 (+40),21-18 / 21-13,TAI Tzu Ying (3) Rank 3 Elo 2576 (-40),44,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,WS,Ratchanok INTANON (8) Rank 8 Elo 2224 (+46),18-21 / 25-23 / 21-16,Akane YAMAGUCHI (1) Rank 1 Elo 2579 (-47),73,https://badmintonranks.com/tournament?id=13710,2
2023-06-16,Quarter final,XD,TANG Ch.. / TSE Ying .. Rank 21 Elo 1982 (+32),21-15 / 23-25 / 21-18,Robin TA.. / Selena PI.. Rank 13 Elo 2029 (-31),69,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,MD,Pramudy.. / Yeremia E.. Rank 25 Elo 1970 (+35),18-21 / 21-19 / 23-21,Hendra S.. / Mohamm.. (4) Rank 7 Elo 2079 (-33),54,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,MD,LIANG W.. / WANG C.. (6) Rank 2 Elo 2228 (+3),21-9 / 21-16,Keiichiro .. / Yoshinori .. Rank 36 Elo 1755 (-4),31,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,WS,AN Se Young (2) Rank 2 Elo 2695 (+1),21-11 / 21-9,Kirsty GILMOUR Rank 33 Elo 1962 (-1),32,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,WS,HE Bing Jiao (5) Rank 5 Elo 2417 (+2),21-16 / 21-14,Yvonne LI Rank 26 Elo 1869 (-2),39,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,WS,CHEN Yu Fei (4) Rank 4 Elo 2509 (+2),21-13 / 21-19,Saena KAWAKAMI Rank 24 Elo 1966 (-2),43,https://badmintonranks.com/tournament?id=13710,2
2023-06-15,Round 2,WD,Yuki FUK.. / Sayaka H.. (7) Rank 9 Elo 2094 (+7),15-21 / 21-17 / 21-8,LEE Chia.. / TENG Ch.. Rank 24 Elo 1781 (-9),70,https://badmintonranks.com/tournament?id=13710,3
2023-06-15,Round 2,WD,JEONG .. / KIM Hye .. (6) Rank 7 Elo 2025 (+12),23-21 / 21-11,YEUNG .. / YEUNG P.. Rank 28 Elo 1810 (-14),51,https://badmintonranks.com/tournament?id=13710,3
2023-06-15,Round 2,MS,CHOU Tien Chen (5) Rank 8 Elo 2170 (+18),21-16 / 21-8,Brian YANG Rank 26 Elo 2058 (-18),38,https://badmintonranks.com/tournament?id=13710,3
