date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-06-07,Semi final,XD,Thom GI.. / Delphine .. Rank 10 Elo 2053 (+29),17-21 / 21-14 / 21-12,CHENG .. / ZHANG C.. Rank 11 Elo 2069 (-29),64,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-07,Semi final,WS,AN Se Young (1) Rank 1 Elo 2708 (+7),21-18 / 21-17,Akane YAMAGUCHI (3) Rank 3 Elo 2396 (-8),51,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-07,Semi final,XD,Dechapol.. / Supissar.. (6) Rank 6 Elo 2237 (+19),21-23 / 21-15 / 21-11,CHEN Ta.. / TOH Ee .. (2) Rank 4 Elo 2122 (-19),65,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2187 (+20),21-19 / 21-9,Takuro H.. / Yugo KOB.. Rank 19 Elo 2104 (-21),36,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MS,SHI Yu Qi (1) Rank 2 Elo 2489 (+3),21-13 / 21-6,WANG Zheng Xing Rank 30 Elo 2045 (-4),31,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MS,Anders ANTONSEN (3) Rank 3 Elo 2315 (+16),23-21 / 21-9,LEE Cheuk Yiu Rank 21 Elo 2182 (-17),46,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MD,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2056 (+34),21-19 / 9-21 / 21-19,GOH Sze.. / Nur IZZU.. (1) Rank 1 Elo 2145 (-33),57,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MD,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2085 (+14),21-19 / 23-21,HUANG .. / LIU Yang Rank 24 Elo 1918 (-16),52,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025
2025-06-06,Quarter final,MS,Kunlavut VITIDSARN (2) Rank 1 Elo 2500 (+15),21-12 / 21-16,Alex LANIER (8) Rank 8 Elo 2327 (-14),49,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,MS,CHOU Tien Chen (6) Rank 7 Elo 2168 (+38),14-21 / 21-13 / 21-17,LI Shi Feng (4) Rank 4 Elo 2340 (-38),70,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2133 (+28),21-6 / 21-18,Rin IWAN.. / Kie NAK.. (6) Rank 5 Elo 2152 (-28),37,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,MD,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2125 (+31),21-19 / 21-16,Satwiksai.. / Chirag SH.. Rank 22 Elo 2183 (-31),43,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
2025-06-06,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2475 (+12),21-18 / 23-21,GAO Fang jie Rank 14 Elo 2251 (-12),52,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025
