date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2021-11-28,Final,MS,Viktor AXELSEN (2) Rank 2 Elo 2596 (+8),21-13 / 9-21 / 21-13,LOH Kean Yew Rank 26 Elo 2282 (-8),59,https://badmintonranks.com/tournament?id=12423,1
2021-11-28,Final,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2296 (+25),21-14 / 21-18,Takuro H.. / Yugo KOB.. Rank 7 Elo 2262 (-25),38,https://badmintonranks.com/tournament?id=12423,1
2021-11-28,Final,XD,Dechapol.. / Sapsiree .. (1) Rank 2 Elo 2316 (+33),21-12 / 21-13,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2386 (-33),41,https://badmintonranks.com/tournament?id=12423,1
2021-11-28,Final,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2188 (+31),21-19 / 21-19,Greysia P.. / Apriyani .. (2) Rank 6 Elo 2227 (-31),65,https://badmintonranks.com/tournament?id=12423,1
2021-11-28,Final,WS,AN Se Young (4) Rank 6 Elo 2465 (+14),21-17 / 22-20,Ratchanok INTANON (2) Rank 8 Elo 2285 (-14),46,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,MS,LOH Kean Yew Rank 26 Elo 2262 (+20),21-14 / 21-7,Rasmus GEMKE Rank 13 Elo 2173 (-21),42,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,MD,Takuro H.. / Yugo KOB.. Rank 7 Elo 2253 (+9),22-20 / 21-14,Akira KO.. / Taichi SAI.. Rank 24 Elo 1973 (-9),48,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,MS,Viktor AXELSEN (2) Rank 2 Elo 2590 (+6),21-19 / 21-15,Jonatan CHRISTIE (6) Rank 8 Elo 2248 (-6),54,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2283 (+13),21-16 / 21-18,Satwiksai.. / Chirag S.. (6) Rank 11 Elo 2092 (-13),44,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2181 (+7),21-19 / 21-18,BAEK Ha.. / LEE Yu Lim Rank 82 Elo 1867 (-9),58,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,WD,Greysia P.. / Apriyani .. (2) Rank 6 Elo 2217 (+10),21-18 / 21-14,Jongkolp.. / Rawinda .. (3) Rank 8 Elo 1955 (-10),58,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2380 (+6),21-16 / 21-12,Mathias .. / Alexandra .. Rank 15 Elo 2027 (-6),39,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,WS,Ratchanok INTANON (2) Rank 8 Elo 2251 (+34),15-21 / 21-9 / 21-14,PUSARLA V. Sindhu (3) Rank 7 Elo 2356 (-34),54,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,XD,Dechapol.. / Sapsiree .. (1) Rank 2 Elo 2308 (+8),21-17 / 18-21 / 21-14,KO Sung .. / EOM Hye .. Rank 21 Elo 2008 (-8),80,https://badmintonranks.com/tournament?id=12423,1
2021-11-27,Semi final,WS,AN Se Young (4) Rank 6 Elo 2450 (+15),21-19 / 21-19,Pornpawee CHOCHU.. (5) Rank 10 Elo 2285 (-15),50,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,MD,Takuro H.. / Yugo KOB.. Rank 7 Elo 2241 (+12),14-21 / 21-15 / 21-14,Kim AST.. / Anders S.. (7) Rank 9 Elo 2037 (-13),66,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,MS,Viktor AXELSEN (2) Rank 2 Elo 2588 (+2),21-12 / 21-8,SAI PRANEETH B. Rank 16 Elo 2022 (-2),36,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,MS,Jonatan CHRISTIE (6) Rank 8 Elo 2248 (+0),W.O.,Anders ANTONSEN (3) Rank 3 Elo 2374 (-3),0,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,MD,Akira KO.. / Taichi SAI.. Rank 24 Elo 1934 (+39),21-10 / 13-21 / 21-14,Fajar ALF.. / Muhamm.. (4) Rank 8 Elo 2071 (-37),70,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2177 (+4),21-17 / 21-13,Febriana .. / Amallia C.. Rank 78 Elo 1707 (-5),43,https://badmintonranks.com/tournament?id=12423,1
2021-11-26,Quarter final,MS,LOH Kean Yew Rank 26 Elo 2243 (+19),21-9 / 21-4,Hans-Kristian Solberg VI.. Rank 21 Elo 2139 (-19),25,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WD,BAEK Ha.. / LEE Yu Lim Rank 82 Elo 1810 (+57),18-21 / 21-19 / 21-15,KIM So Y.. / KONG H.. (1) Rank 4 Elo 2143 (-47),100,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,MD,Satwiksai.. / Chirag S.. (6) Rank 11 Elo 2072 (+20),21-19 / 21-19,GOH Sze.. / Nur IZZUD.. Rank 19 Elo 1983 (-21),43,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WD,Jongkolp.. / Rawinda .. (3) Rank 8 Elo 1923 (+32),21-10 / 21-14,Gabriela .. / Stefani S.. (5) Rank 11 Elo 1964 (-32),42,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,MS,Rasmus GEMKE Rank 13 Elo 2146 (+27),21-18 / 21-17,Kenta NISHIMOTO Rank 17 Elo 2148 (-26),64,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2270 (+13),14-21 / 21-14 / 21-16,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2081 (-13),52,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,XD,KO Sung .. / EOM Hye .. Rank 21 Elo 1989 (+19),15-21 / 21-16 / 21-18,CHAN Pe.. / GOH Liu .. (5) Rank 9 Elo 1875 (-20),72,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,XD,Dechapol.. / Sapsiree .. (1) Rank 2 Elo 2301 (+7),21-10 / 21-11,TAN Kian.. / LAI Pei Jin.. Rank 12 Elo 1971 (-7),33,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WD,Greysia P.. / Apriyani .. (2) Rank 6 Elo 2210 (+7),21-16 / 12-21 / 21-18,Mayu MA.. / Ayako SA.. (7) Rank 82 Elo 1884 (-8),76,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,XD,Mathias .. / Alexandra .. Rank 15 Elo 2001 (+26),14-21 / 21-11 / 21-18,Hafiz FAI.. / Gloria E.. (6) Rank 10 Elo 1983 (-27),64,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WS,Ratchanok INTANON (2) Rank 8 Elo 2245 (+6),21-17 / 21-12,Asuka TAKAHASHI Rank 71 Elo 1863 (-6),39,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WS,Pornpawee CHOCHU.. (5) Rank 10 Elo 2242 (+43),21-6 / 21-23 / 21-11,Akane YAMAGUCHI (1) Rank 3 Elo 2506 (-43),72,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2370 (+10),21-17 / 21-8,TANG Ch.. / TSE Ying.. (8) Rank 7 Elo 2107 (-10),32,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WS,PUSARLA V. Sindhu (3) Rank 7 Elo 2353 (+3),14-21 / 21-19 / 21-14,SIM Yu Jin Rank 54 Elo 1875 (-4),66,https://badmintonranks.com/tournament?id=12423,2
2021-11-26,Quarter final,WS,AN Se Young (4) Rank 6 Elo 2442 (+8),21-13 / 21-11,Lalinrat CHAIWAN Rank 21 Elo 2125 (-7),34,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,XD,Hafiz FAI.. / Gloria E.. (6) Rank 10 Elo 1974 (+9),19-21 / 21-10 / 21-18,Takuro H.. / Nami MAT.. Rank Elo 1700 (-14),50,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,XD,TAN Kian.. / LAI Pei Jin.. Rank 12 Elo 1953 (+18),21-8 / 21-16,Adnan M.. / Mychelle .. Rank 35 Elo 1832 (-21),33,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,MS,Viktor AXELSEN (2) Rank 2 Elo 2583 (+5),21-14 / 21-18,KIDAMBI Srikanth Rank 14 Elo 2180 (-4),37,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,XD,Dechapol.. / Sapsiree .. (1) Rank 2 Elo 2298 (+3),21-15 / 21-14,CHEN Ta.. / PECK Yen.. Rank 42 Elo 1819 (-3),33,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,MS,SAI PRANEETH B. Rank 16 Elo 2005 (+17),21-17 / 14-21 / 21-19,Christo POPOV Rank 70 Elo 1883 (-19),83,https://badmintonranks.com/tournament?id=12423,2
2021-11-25,Round 2,MS,LOH Kean Yew Rank 26 Elo 2199 (+44),21-7 / 17-21 / 21-19,Kento MOMOTA (1) Rank 1 Elo 2521 (-44),69,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,XD,CHAN Pe.. / GOH Liu .. (5) Rank 9 Elo 1858 (+17),21-9 / 21-13,Jones Ra.. / Linda EFL.. Rank 146 Elo 1708 (-23),34,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,Satwiksai.. / Chirag S.. (6) Rank 11 Elo 2063 (+9),21-15 / 19-21 / 23-21,KANG Mi.. / SEO Seun.. Rank Elo 1797 (-12),75,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,GOH Sze.. / Nur IZZUD.. Rank 19 Elo 1935 (+48),21-15 / 23-21,LEE Yang / WANG C.. (3) Rank 3 Elo 2283 (-44),37,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MS,Hans-Kristian Solberg VI.. Rank 21 Elo 2104 (+35),10-21 / 21-18 / 21-13,Kanta TSUNEYAMA Rank 10 Elo 2238 (-34),54,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,Akira KO.. / Taichi SAI.. Rank 24 Elo 1902 (+32),26-24 / 21-7,LU Ching.. / YANG Po .. Rank 20 Elo 1941 (-31),46,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,XD,Mathias .. / Alexandra .. Rank 15 Elo 1966 (+35),23-21 / 21-14,Praveen .. / Melati Da.. (2) Rank 5 Elo 2078 (-34),44,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MS,Jonatan CHRISTIE (6) Rank 8 Elo 2240 (+8),21-11 / 21-12,Chico Aura DWI WARD.. Rank 60 Elo 1948 (-9),35,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,Fajar ALF.. / Muhamm.. (4) Rank 8 Elo 2058 (+13),21-11 / 21-10,Muhamm.. / Bagas MA.. Rank 30 Elo 1862 (-15),25,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,Kim AST.. / Anders S.. (7) Rank 9 Elo 2030 (+7),21-11 / 21-14,Mahiro K.. / Yunosuke .. Rank 60 Elo 1704 (-11),35,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,XD,KO Sung .. / EOM Hye .. Rank 21 Elo 1964 (+25),12-21 / 21-17 / 21-15,Mark LA.. / Isabel LO.. Rank 14 Elo 1944 (-26),56,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MS,Anders ANTONSEN (3) Rank 3 Elo 2365 (+9),18-21 / 21-13 / 21-14,WANG Tzu Wei Rank 11 Elo 2100 (-9),82,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,WS,Akane YAMAGUCHI (1) Rank 3 Elo 2503 (+3),21-15 / 19-21 / 21-14,YEO Jia Min Rank 18 Elo 2039 (-3),63,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,WS,SIM Yu Jin Rank 54 Elo 1855 (+20),21-13 / 21-14,Beatriz CORRALES Rank 55 Elo 1740 (-25),36,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,XD,TANG Ch.. / TSE Ying.. (8) Rank 7 Elo 2102 (+5),21-15 / 21-19,Kyohei Y.. / Naru SHI.. Rank 67 Elo 1703 (-7),41,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2267 (+3),12-21 / 21-19 / 21-18,CHOI Sol.. / KIM Won .. Rank Elo 1728 (-3),60,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MS,Kenta NISHIMOTO Rank 17 Elo 2111 (+37),18-21 / 21-15 / 21-11,CHOU Tien Chen (4) Rank 4 Elo 2283 (-37),76,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,MS,Rasmus GEMKE Rank 13 Elo 2141 (+5),21-12 Ret.,Shesar Hiren RHUSTAV.. Rank 20 Elo 2127 (-5),23,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2164 (+13),21-17 / 21-16,Puttita S.. / Sapsiree .. Rank 17 Elo 1982 (-14),43,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,WS,PUSARLA V. Sindhu (3) Rank 7 Elo 2350 (+3),21-12 / 21-18,Yvonne LI Rank 26 Elo 1911 (-4),37,https://badmintonranks.com/tournament?id=12423,3
2021-11-25,Round 2,WS,Pornpawee CHOCHU.. (5) Rank 10 Elo 2227 (+15),11-21 / 21-9 / 22-20,Gregoria Mariska TUNJ.. Rank 25 Elo 2073 (-15),60,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WS,Lalinrat CHAIWAN Rank 21 Elo 2089 (+36),21-19 / 14-21 / 21-14,Sayaka TAKAHASHI (8) Rank 13 Elo 2237 (-36),56,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,MD,Takuro H.. / Yugo KOB.. Rank 7 Elo 2230 (+11),25-23 / 27-25,Pramudy.. / Yeremia E.. Rank 28 Elo 1998 (-11),53,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,Mayu MA.. / Ayako SA.. (7) Rank 82 Elo 1857 (+27),21-16 / 22-20,Rin IWAN.. / Kie NAKA.. Rank 36 Elo 1835 (-29),44,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2369 (+1),21-17 / 21-12,CHANG .. / NG Wing .. Rank 29 Elo 1738 (-1),33,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,MD,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2049 (+32),21-14 / 21-17,Aaron CH.. / SOH Wo.. (5) Rank 6 Elo 2137 (-32),29,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,Febriana .. / Amallia C.. Rank 78 Elo 1627 (+80),14-21 / 22-20 / 21-17,Pearly TA.. / THINAAH.. (8) Rank 18 Elo 1861 (-47),81,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,Greysia P.. / Apriyani .. (2) Rank 6 Elo 2209 (+1),21-10 / 21-15,Fitriani FI.. / Yulia Yose.. Rank 82 Elo 1540 (-2),37,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,KIM So Y.. / KONG H.. (1) Rank 4 Elo 2133 (+10),21-19 / 18-21 / 21-16,JEONG .. / KIM Hye J.. Rank 87 Elo 1887 (-11),88,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WS,Ratchanok INTANON (2) Rank 8 Elo 2240 (+5),21-11 / 21-16,PAI Yu Po Rank 39 Elo 1854 (-5),36,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,Jongkolp.. / Rawinda .. (3) Rank 8 Elo 1912 (+11),24-26 / 21-12 / 21-11,Vivian H.. / LIM Chiew.. Rank 110 Elo 1671 (-18),78,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WS,AN Se Young (4) Rank 6 Elo 2442 (+0),21-8 / 21-10,LéOnice HUET Rank 60 Elo 1693 (-1),25,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,BAEK Ha.. / LEE Yu Lim Rank 82 Elo 1771 (+39),21-19 / 21-9,Chloe CO.. / Lauren S.. (6) Rank 13 Elo 1821 (-36),48,https://badmintonranks.com/tournament?id=12423,4
2021-11-25,Round 2,WD,Gabriela .. / Stefani S.. (5) Rank 11 Elo 1955 (+9),21-14 / 21-15,LEE Men.. / YAP Chen.. Rank 134 Elo 1666 (-14),35,https://badmintonranks.com/tournament?id=12423,4
