date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
25/7/2025,Quarter final,MS,Anders ANTONSEN (2) Rank 3 Elo 2369 (+12),19-21 / 21-12 / 21-8,Toma Junior POPOV Rank 17 Elo 2167 (-12),72,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Anders ANTONSEN (2),3,2369,Toma Junior POPOV,17,2167
25/7/2025,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2769 (+17),21-18 / 21-19,CHEN Yu Fei (5) Rank 5 Elo 2645 (-17),54,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,AN Se Young (1),1,2769,CHEN Yu Fei (5),5,2645
25/7/2025,Quarter final,MD,Fajar ALF.. / Muhamma.. Rank 86 Elo 1984 (+49),21-19 / 21-14,KIM Won .. / SEO Seu.. (3) Rank 1 Elo 2320 (-46),43,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Fajar ALF.. / Muhamma..,86,1984,KIM Won .. / SEO Seu.. (3),1,2320
25/7/2025,Quarter final,MS,WANG Zheng Xing Rank 23 Elo 2090 (+39),21-6 / 22-20,Christo POPOV Rank 14 Elo 2252 (-37),36,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,WANG Zheng Xing,23,2090,Christo POPOV,14,2252
25/7/2025,Quarter final,WD,KIM Hye .. / KONG H.. (7) Rank 6 Elo 2200 (+24),6-21 / 22-20 / 21-12,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2160 (-24),64,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,KIM Hye .. / KONG H.. (7),6,2200,BAEK Ha.. / LEE So H.. (4),4,2160
25/7/2025,Quarter final,WS,HAN Yue (4) Rank 3 Elo 2341 (+17),21-19 / 21-18,Gregoria Mariska TUN.. (8) Rank 8 Elo 2213 (-17),34,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,HAN Yue (4),3,2341,Gregoria Mariska TUN.. (8),8,2213
25/7/2025,Quarter final,WD,Pearly TA.. / THINAAH.. (3) Rank 3 Elo 2232 (+17),21-16 / 21-12,Yuki FUK.. / Mayu MA.. (8) Rank 9 Elo 2099 (-17),39,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Pearly TA.. / THINAAH.. (3),3,2232,Yuki FUK.. / Mayu MA.. (8),9,2099
25/7/2025,Quarter final,WD,JIA Yi Fan / ZHANG S.. Rank 7 Elo 2232 (+6),21-7 / 21-15,GO Pei K.. / TEOH Mei.. Rank 22 Elo 1876 (-6),34,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,JIA Yi Fan / ZHANG S..,7,2232,GO Pei K.. / TEOH Mei..,22,1876
25/7/2025,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2421 (+5),21-13 / 17-21 / 21-16,LI Yi jing / LUO Xu .. (5) Rank 5 Elo 2043 (-5),69,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,LIU Shen.. / TAN Ning (1),1,2421,LI Yi jing / LUO Xu .. (5),5,2043
25/7/2025,Quarter final,WS,Akane YAMAGUCHI (3) Rank 4 Elo 2416 (+3),21-16 / 21-12,Unnati HOODA Rank 35 Elo 1942 (-4),33,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Akane YAMAGUCHI (3),4,2416,Unnati HOODA,35,1942
25/7/2025,Quarter final,MS,SHI Yu Qi (3) Rank 2 Elo 2513 (+13),15-21 / 21-15 / 21-11,LI Shi Feng (5) Rank 5 Elo 2326 (-13),61,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,SHI Yu Qi (3),2,2513,LI Shi Feng (5),5,2326
25/7/2025,Quarter final,XD,Jafar HID.. / Felisha Al.. Rank 14 Elo 2023 (+36),21-13 / 18-21 / 21-17,TANG Ch.. / TSE Ying.. (3) Rank 5 Elo 2136 (-36),69,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Jafar HID.. / Felisha Al..,14,2023,TANG Ch.. / TSE Ying.. (3),5,2136
25/7/2025,Quarter final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2398 (+4),21-14 / 21-11,Rehan N.. / Gloria Em.. Rank 16 Elo 1956 (-4),38,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,FENG Ya.. / HUANG .. (1),1,2398,Rehan N.. / Gloria Em..,16,1956
25/7/2025,Quarter final,MS,CHOU Tien Chen (6) Rank 6 Elo 2227 (+41),21-17 / 21-11,Kunlavut VITIDSARN (1) Rank 1 Elo 2443 (-41),37,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,CHOU Tien Chen (6),6,2227,Kunlavut VITIDSARN (1),1,2443
25/7/2025,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2520 (+2),21-16 / 21-11,CHIU Pin-Chian Rank 21 Elo 1958 (-2),42,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,WANG Zhi Yi (2),2,2520,CHIU Pin-Chian,21,1958
25/7/2025,Quarter final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2336 (+2),21-17 / 21-14,WANG C.. / JEONG N.. Rank Elo 1777 (-3),37,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,JIANG Zh.. / WEI Ya X.. (2),2,2336,WANG C.. / JEONG N..,,1777
25/7/2025,Quarter final,XD,GUO Xin .. / CHEN Fa.. Rank 9 Elo 2073 (+32),21-19 / 21-15,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2139 (-32),43,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,GUO Xin .. / CHEN Fa..,9,2073,CHEN Ta.. / TOH Ee .. (4),4,2139
24/7/2025,Round 2,WS,AN Se Young (1) Rank 1 Elo 2766 (+3),21-13 / 21-15,SIM Yu Jin Rank 14 Elo 2229 (-2),40,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,AN Se Young (1),1,2766,SIM Yu Jin,14,2229
24/7/2025,Round 2,MD,MAN Wei.. / TEE Kai .. (6) Rank 7 Elo 2138 (+10),17-21 / 21-17 / 21-19,Nur Mohd.. / TAN Wee .. Rank 25 Elo 1892 (-11),57,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,MAN Wei.. / TEE Kai .. (6),7,2138,Nur Mohd.. / TAN Wee ..,25,1892
24/7/2025,Round 2,WD,KIM Hye .. / KONG H.. (7) Rank 6 Elo 2191 (+9),21-18 / 19-21 / 21-17,HSIEH P.. / HUNG En-.. Rank 12 Elo 1921 (-10),62,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,KIM Hye .. / KONG H.. (7),6,2191,HSIEH P.. / HUNG En-..,12,1921
24/7/2025,Round 2,MD,Fajar ALF.. / Muhamma.. Rank 86 Elo 1947 (+37),21-8 / 21-13,Sabar Ka.. / Moh Rez.. (7) Rank 8 Elo 2071 (-34),25,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Fajar ALF.. / Muhamma..,86,1947,Sabar Ka.. / Moh Rez.. (7),8,2071
24/7/2025,Round 2,MD,LIANG W.. / WANG C.. (5) Rank 6 Elo 2113 (+15),21-15 / 21-12,HUANG .. / LIU Yang Rank 17 Elo 1954 (-16),30,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,LIANG W.. / WANG C.. (5),6,2113,HUANG .. / LIU Yang,17,1954
24/7/2025,Round 2,MD,KANG Mi.. / KI Dong Ju Rank 40 Elo 2020 (+16),21-17 / 21-13,Daniel LU.. / Mads VES.. Rank 26 Elo 1871 (-18),39,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,KANG Mi.. / KI Dong Ju,40,2020,Daniel LU.. / Mads VES..,26,1871
24/7/2025,Round 2,WD,Yuki FUK.. / Mayu MA.. (8) Rank 9 Elo 2081 (+18),21-14 / 21-9,Febriana .. / Amallia C.. Rank 10 Elo 1974 (-19),37,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,Yuki FUK.. / Mayu MA.. (8),9,2081,Febriana .. / Amallia C..,10,1974
24/7/2025,Round 2,WD,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2155 (+5),21-7 / 21-16,LUI Lok L.. / TSANG Hi.. Rank 27 Elo 1748 (-6),31,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,BAEK Ha.. / LEE So H.. (4),4,2155,LUI Lok L.. / TSANG Hi..,27,1748
24/7/2025,Round 2,MS,SHI Yu Qi (3) Rank 2 Elo 2509 (+4),21-15 / 21-8,Nhat NGUYEN Rank 34 Elo 2053 (-3),43,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,SHI Yu Qi (3),2,2509,Nhat NGUYEN,34,2053
24/7/2025,Round 2,WS,CHEN Yu Fei (5) Rank 5 Elo 2641 (+4),13-21 / 21-5 / 21-9,GAO Fang jie Rank 12 Elo 2239 (-5),53,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,CHEN Yu Fei (5),5,2641,GAO Fang jie,12,2239
24/7/2025,Round 2,WD,GO Pei K.. / TEOH Mei.. Rank 22 Elo 1824 (+52),26-24 / 7-21 / 21-18,Rin IWAN.. / Kie NAK.. (6) Rank 8 Elo 2118 (-43),63,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,GO Pei K.. / TEOH Mei..,22,1824,Rin IWAN.. / Kie NAK.. (6),8,2118
24/7/2025,Round 2,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2419 (+2),21-9 / 21-13,Lauren L.. / Allison Qu.. Rank 28 Elo 1840 (-2),31,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,LIU Shen.. / TAN Ning (1),1,2419,Lauren L.. / Allison Qu..,28,1840
24/7/2025,Round 2,WS,HAN Yue (4) Rank 3 Elo 2336 (+5),19-21 / 21-15 / 21-11,HAN Qian Xi Rank 34 Elo 1967 (-6),54,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,HAN Yue (4),3,2336,HAN Qian Xi,34,1967
24/7/2025,Round 2,WS,Unnati HOODA Rank 35 Elo 1900 (+42),21-16 / 19-21 / 21-13,PUSARLA V. Sindhu Rank 15 Elo 2078 (-38),73,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,Unnati HOODA,35,1900,PUSARLA V. Sindhu,15,2078
24/7/2025,Round 2,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2184 (+9),21-17 / 21-18,Christo P.. / Toma Juni.. Rank 20 Elo 1915 (-10),35,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,Aaron CH.. / SOH Wo.. (2),2,2184,Christo P.. / Toma Juni..,20,1915
24/7/2025,Round 2,MD,KIM Won .. / SEO Seu.. (3) Rank 1 Elo 2308 (+12),21-13 / 21-13,Takuro H.. / Yugo KOB.. Rank 16 Elo 2099 (-12),34,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,KIM Won .. / SEO Seu.. (3),1,2308,Takuro H.. / Yugo KOB..,16,2099
24/7/2025,Round 2,XD,WANG C.. / JEONG N.. Rank Elo 1716 (+61),12-21 / 21-13 / 21-19,Amri SYA.. / Nita Violin.. Rank 20 Elo 1943 (-43),55,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,WANG C.. / JEONG N..,,1716,Amri SYA.. / Nita Violin..,20,1943
24/7/2025,Round 2,WD,LI Yi jing / LUO Xu .. (5) Rank 5 Elo 2027 (+16),21-17 / 21-19,Mizuki O.. / Miyu TAK.. Rank 26 Elo 1885 (-17),43,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,LI Yi jing / LUO Xu .. (5),5,2027,Mizuki O.. / Miyu TAK..,26,1885
24/7/2025,Round 2,MD,ONG Yew.. / TEO Ee Yi Rank 28 Elo 1968 (+30),21-16 / 21-16,Dechapol.. / Kittinupon.. Rank 13 Elo 2004 (-29),30,https://badmintonranks.com/tournament?id=14501,3,China Open 2025,ONG Yew.. / TEO Ee Yi,28,1968,Dechapol.. / Kittinupon..,13,2004
