date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-01-29,BWF World Tour Finals 2020,Group A,XD,SEO Seung Jae / CHAE Yu Jung,6,2176,Praveen JORDAN / Melati Daeva OKTAVIANTI,4,2212
2021-01-29,BWF World Tour Finals 2020,Group A,WS,Evgeniya KOSETSKAYA,25,1883,Michelle LI,10,2252
2021-01-29,BWF World Tour Finals 2020,Group B,WS,TAI Tzu Ying,1,2576,Ratchanok INTANON,5,2388
2021-01-29,BWF World Tour Finals 2020,Group B,MS,WANG Tzu Wei,12,2215,Anders ANTONSEN,3,2406
2021-01-29,BWF World Tour Finals 2020,Group B,XD,GOH Soon Huat / LAI Shevon Jemie,12,2038,Hafiz FAIZAL / Gloria Emanuelle WIDJAJA,8,2052
2021-01-29,BWF World Tour Finals 2020,Group B,WS,PUSARLA V. Sindhu,7,2280,Pornpawee CHOCHUWONG,13,2255
2021-01-29,BWF World Tour Finals 2020,Group A,MS,Anthony Sinisuka GINTING,6,2377,LEE Zii Jia,10,2289
2021-01-29,BWF World Tour Finals 2020,Group A,MD,Ben LANE / Sean VENDY,32,1936,ONG Yew Sin / TEO Ee Yi,15,2072
2021-01-29,BWF World Tour Finals 2020,Group A,WS,AN Se Young,9,2301,Carolina MARIN,6,2530
2021-01-29,BWF World Tour Finals 2020,Group B,MD,Hendra SETIAWAN / Mohammad AHSAN,2,2285,Aaron CHIA / SOH Wooi Yik,9,2142
2021-01-29,BWF World Tour Finals 2020,Group B,MS,NG Ka Long Angus,8,2291,KIDAMBI Srikanth,14,2098
2021-01-29,BWF World Tour Finals 2020,Group A,WD,CHOW Mei Kuan / LEE Meng Yean,14,1884,Greysia POLII / Apriyani RAHAYU,8,2174
2021-01-29,BWF World Tour Finals 2020,Group A,MD,LEE Yang / WANG Chang,7,2273,Marcus ELLIS / Chris LANGRIDGE,22,1988
2021-01-29,BWF World Tour Finals 2020,Group B,WD,Jongkolphan KITITHARAKUL / Rawinda PRAJONGJAI,11,1986,Linda EFLER / Isabel LOHAU,31,1696
2021-01-29,BWF World Tour Finals 2020,Group B,WD,KIM So Yeong / KONG Hee Yong,6,2206,Chloe COBB / Lauren SMITH,18,1857
2021-01-29,BWF World Tour Finals 2020,Group A,WD,LEE So Hee / SHIN Se..,4,2194,Vivian HO / YAP Cheng Wen,25,1790
2021-01-29,BWF World Tour Finals 2020,Group B,MD,CHOI Sol Gyu / SEO Seung Jae,8,2102,Vladimir IVANOV / Ivan SOZONOV,24,1955
2021-01-30,BWF World Tour Finals 2020,Semi final,XD,SEO Seung Jae / CHAE Yu Jung,6,2190,GOH Soon Huat / LAI Shevon Jemie,12,2051
2021-01-30,BWF World Tour Finals 2020,Semi final,MS,Viktor AXELSEN,4,2553,CHOU Tien Chen,2,2358
2021-01-30,BWF World Tour Finals 2020,Semi final,XD,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI,3,2275,Thom GICQUEL / Delphine DELRUE,15,2030
2021-01-30,BWF World Tour Finals 2020,Semi final,MS,Anders ANTONSEN,3,2387,WANG Tzu Wei,12,2234
2021-01-30,BWF World Tour Finals 2020,Semi final,WS,Carolina MARIN,6,2510,Pornpawee CHOCHUWONG,13,2244
2021-01-30,BWF World Tour Finals 2020,Semi final,MD,LEE Yang / WANG Chang,7,2277,Ben LANE / Sean VENDY,32,1955
