date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2021-01-31,Final,XD,Dechapol.. / Sapsiree .. Rank 3 Elo 2280 (+11),21-18 / 8-21 / 21-8,SEO Seu.. / CHAE Yu .. Rank 6 Elo 2199 (-11),57,https://badmintonranks.com/tournament?id=10618,1
2021-01-31,Final,MS,Anders ANTONSEN Rank 3 Elo 2395 (+19),21-16 / 5-21 / 21-17,Viktor AXELSEN Rank 4 Elo 2559 (-19),60,https://badmintonranks.com/tournament?id=10618,1
2021-01-31,Final,WS,TAI Tzu Ying Rank 1 Elo 2587 (+11),14-21 / 21-8 / 21-19,Carolina MARIN Rank 6 Elo 2515 (-11),67,https://badmintonranks.com/tournament?id=10618,1
2021-01-31,Final,MD,LEE Yang / WANG Ch.. Rank 7 Elo 2281 (+14),21-17 / 23-21,Hendra S.. / Mohamma.. Rank 2 Elo 2299 (-14),37,https://badmintonranks.com/tournament?id=10618,1
2021-01-31,Final,WD,LEE So H.. / SHIN Seu.. Rank 4 Elo 2201 (+14),15-21 / 26-24 / 21-19,KIM So Y.. / KONG He.. Rank 6 Elo 2215 (-14),92,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,XD,SEO Seu.. / CHAE Yu .. Rank 6 Elo 2190 (+9),21-19 / 21-8,GOH Soo.. / LAI Shevo.. Rank 12 Elo 2051 (-8),39,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,MS,Viktor AXELSEN Rank 4 Elo 2553 (+6),21-16 / 21-9,CHOU Tien Chen Rank 2 Elo 2358 (-7),45,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,XD,Dechapol.. / Sapsiree .. Rank 3 Elo 2275 (+5),21-15 / 21-17,Thom GI.. / Delphine .. Rank 15 Elo 2030 (-6),44,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,MS,Anders ANTONSEN Rank 3 Elo 2387 (+8),21-18 / 14-21 / 21-16,WANG Tzu Wei Rank 12 Elo 2234 (-8),80,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,WS,Carolina MARIN Rank 6 Elo 2510 (+5),21-13 / 21-13,Pornpawee CHOCHUW.. Rank 13 Elo 2244 (-5),40,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,MD,LEE Yang / WANG Ch.. Rank 7 Elo 2277 (+4),22-20 / 21-17,Ben LANE / Sean VEN.. Rank 32 Elo 1955 (-4),42,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,WS,TAI Tzu Ying Rank 1 Elo 2582 (+5),21-18 / 21-12,AN Se Young Rank 9 Elo 2321 (-5),37,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,MD,Hendra S.. / Mohamma.. Rank 2 Elo 2292 (+7),23-21 / 21-13,CHOI Sol.. / SEO Seun.. Rank 8 Elo 2109 (-7),34,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,WD,KIM So Y.. / KONG He.. Rank 6 Elo 2209 (+6),21-11 / 12-21 / 21-16,Jongkolp.. / Rawinda .. Rank 11 Elo 1990 (-6),69,https://badmintonranks.com/tournament?id=10618,1
2021-01-30,Semi final,WD,LEE So H.. / SHIN Seu.. Rank 4 Elo 2196 (+5),21-14 / 21-15,CHOW M.. / LEE Meng.. Rank 14 Elo 1908 (-4),49,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group A,XD,Dechapol.. / Sapsiree .. (3) Rank 3 Elo 2270 (+5),21-12 / 21-11,Marcus E.. / Lauren S.. (1) Rank 9 Elo 2036 (-5),36,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group B,XD,Thom GI.. / Delphine .. (4) Rank 15 Elo 2021 (+9),21-10 / 21-15,Mark LA.. / Isabel LO.. (2) Rank 17 Elo 1900 (-9),32,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group A,MS,Viktor AXELSEN (1) Rank 4 Elo 2546 (+7),21-10 / 21-14,CHOU Tien Chen (3) Rank 2 Elo 2364 (-6),36,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group A,XD,SEO Seu.. / CHAE Yu .. Rank 6 Elo 2176 (+14),21-10 / 21-13,Praveen .. / Melati Dae.. Rank 4 Elo 2212 (-14),28,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group A,WS,Evgeniya KOSETSKAYA Rank 25 Elo 1883 (+25),25-23 / 21-10,Michelle LI Rank 10 Elo 2252 (-23),34,https://badmintonranks.com/tournament?id=10618,1
2021-01-29,Group B,WS,TAI Tzu Ying (2) Rank 1 Elo 2576 (+6),23-25 / 21-12 / 21-9,Ratchanok INTANON (3) Rank 5 Elo 2388 (-7),57,https://badmintonranks.com/tournament?id=10618,2
2021-01-29,Group B,MS,WANG Tzu Wei (4) Rank 12 Elo 2215 (+19),21-11 / 21-19,Anders ANTONSEN (2) Rank 3 Elo 2406 (-19),38,https://badmintonranks.com/tournament?id=10618,2
2021-01-29,Group B,XD,GOH Soo.. / LAI Shevo.. Rank 12 Elo 2038 (+13),17-21 / 21-13 / 21-13,Hafiz FAI.. / Gloria Em.. Rank 8 Elo 2052 (-14),57,https://badmintonranks.com/tournament?id=10618,2
