date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
25/7/2025,Quarter final,MD,LIANG Wei Keng / WANG Chang (5) Rank 6 Elo 2128 (+19),21-16 / 22-20,KANG Min Hyuk / KI Dong Ju Rank 40 Elo 2036 (-20),43.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIANG Wei Keng / WANG Chang (5),6.0,2128,KANG Min Hyuk / KI Dong Ju,40.0,2036
25/7/2025,Quarter final,MS,Anders ANTONSEN (2) Rank 3 Elo 2369 (+12),19-21 / 21-12 / 21-8,Toma Junior POPOV Rank 17 Elo 2167 (-12),72.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Anders ANTONSEN (2),3.0,2369,Toma Junior POPOV,17.0,2167
25/7/2025,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2769 (+17),21-18 / 21-19,CHEN Yu Fei (5) Rank 5 Elo 2645 (-17),54.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,AN Se Young (1),1.0,2769,CHEN Yu Fei (5),5.0,2645
25/7/2025,Quarter final,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI Rank 86 Elo 1984 (+49),21-19 / 21-14,KIM Won Ho / SEO Seung Jae (3) Rank 1 Elo 2320 (-46),43.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Fajar ALFIAN / Muhammad Shohibul FIKRI,86.0,1984,KIM Won Ho / SEO Seung Jae (3),1.0,2320
25/7/2025,Quarter final,MS,WANG Zheng Xing Rank 23 Elo 2090 (+39),21-6 / 22-20,Christo POPOV Rank 14 Elo 2252 (-37),36.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,WANG Zheng Xing,23.0,2090,Christo POPOV,14.0,2252
25/7/2025,Quarter final,WD,KIM Hye Rin / KONG Hee Yong (7) Rank 6 Elo 2200 (+24),6-21 / 22-20 / 21-12,BAEK Ha Na / LEE So Hee (4) Rank 4 Elo 2160 (-24),64.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,KIM Hye Rin / KONG Hee Yong (7),6.0,2200,BAEK Ha Na / LEE So Hee (4),4.0,2160
25/7/2025,Quarter final,WS,HAN Yue (4) Rank 3 Elo 2341 (+17),21-19 / 21-18,Gregoria Mariska TUNJUNG (8) Rank 8 Elo 2213 (-17),34.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,HAN Yue (4),3.0,2341,Gregoria Mariska TUNJUNG (8),8.0,2213
25/7/2025,Quarter final,WD,Pearly TAN / THINAAH Muralitharan (3) Rank 3 Elo 2232 (+17),21-16 / 21-12,Yuki FUKUSHIMA / Mayu MATSUMOTO (8) Rank 9 Elo 2099 (-17),39.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Pearly TAN / THINAAH Muralitharan (3),3.0,2232,Yuki FUKUSHIMA / Mayu MATSUMOTO (8),9.0,2099
25/7/2025,Quarter final,WD,JIA Yi Fan / ZHANG Shu Xian Rank 7 Elo 2232 (+6),21-7 / 21-15,GO Pei Kee / TEOH Mei Xing Rank 22 Elo 1876 (-6),34.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,JIA Yi Fan / ZHANG Shu Xian,7.0,2232,GO Pei Kee / TEOH Mei Xing,22.0,1876
25/7/2025,Quarter final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2421 (+5),21-13 / 17-21 / 21-16,LI Yi jing / LUO Xu Min (5) Rank 5 Elo 2043 (-5),69.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2421,LI Yi jing / LUO Xu Min (5),5.0,2043
25/7/2025,Quarter final,WS,Akane YAMAGUCHI (3) Rank 4 Elo 2416 (+3),21-16 / 21-12,Unnati HOODA Rank 35 Elo 1942 (-4),33.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Akane YAMAGUCHI (3),4.0,2416,Unnati HOODA,35.0,1942
25/7/2025,Quarter final,MS,SHI Yu Qi (3) Rank 2 Elo 2513 (+13),15-21 / 21-15 / 21-11,LI Shi Feng (5) Rank 5 Elo 2326 (-13),61.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,SHI Yu Qi (3),2.0,2513,LI Shi Feng (5),5.0,2326
25/7/2025,Quarter final,XD,Jafar HIDAYATULLAH / Felisha Alberta SI Rank 14 Elo 2023 (+36),21-13 / 18-21 / 21-17,TANG Chun Man / TSE Ying Suet (3) Rank 5 Elo 2136 (-36),69.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Jafar HIDAYATULLAH / Felisha Alberta SI,14.0,2023,TANG Chun Man / TSE Ying Suet (3),5.0,2136
25/7/2025,Quarter final,XD,FENG Yan Zhe / HUANG Dong Ping (1) Rank 1 Elo 2398 (+4),21-14 / 21-11,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA Rank 16 Elo 1956 (-4),38.0,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,FENG Yan Zhe / HUANG Dong Ping (1),1.0,2398,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,16.0,1956
