date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
6/6/2025,Quarter final,MS,SHI Yu Qi (1) Rank 2 Elo 2489 (+3),21-13 / 21-6,WANG Zheng Xing Rank 30 Elo 2045 (-4),31.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,SHI Yu Qi (1),2.0,2489,WANG Zheng Xing,30.0,2045
6/6/2025,Quarter final,MS,Anders ANTONSEN (3) Rank 3 Elo 2315 (+16),23-21 / 21-9,LEE Cheuk Yiu Rank 21 Elo 2182 (-17),46.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3.0,2315,LEE Cheuk Yiu,21.0,2182
6/6/2025,Quarter final,MD,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8) Rank 8 Elo 2056 (+34),21-19 / 9-21 / 21-19,GOH Sze Fei / Nur IZZUDDIN (1) Rank 1 Elo 2145 (-33),57.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8),8.0,2056,GOH Sze Fei / Nur IZZUDDIN (1),1.0,2145
6/6/2025,Quarter final,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI (6) Rank 5 Elo 2085 (+14),21-19 / 23-21,HUANG Di / LIU Yang Rank 24 Elo 1918 (-16),52.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Fajar ALFIAN / Muhammad Shohibul FIKRI (6),5.0,2085,HUANG Di / LIU Yang,24.0,1918
6/6/2025,Quarter final,MS,Kunlavut VITIDSARN (2) Rank 1 Elo 2500 (+15),21-12 / 21-16,Alex LANIER (8) Rank 8 Elo 2327 (-14),49.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Kunlavut VITIDSARN (2),1.0,2500,Alex LANIER (8),8.0,2327
6/6/2025,Quarter final,MS,CHOU Tien Chen (6) Rank 7 Elo 2168 (+38),14-21 / 21-13 / 21-17,LI Shi Feng (4) Rank 4 Elo 2340 (-38),70.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHOU Tien Chen (6),7.0,2168,LI Shi Feng (4),4.0,2340
6/6/2025,Quarter final,WD,Pearly TAN / THINAAH Muralitharan (4) Rank 4 Elo 2133 (+28),21-6 / 21-18,Rin IWANAGA / Kie NAKANISHI (6) Rank 5 Elo 2152 (-28),37.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Pearly TAN / THINAAH Muralitharan (4),4.0,2133,Rin IWANAGA / Kie NAKANISHI (6),5.0,2152
6/6/2025,Quarter final,MD,MAN Wei Chong / TEE Kai Wun (7) Rank 7 Elo 2125 (+31),21-19 / 21-16,Satwiksairaj RANKIREDDY / Chirag SHETTY Rank 22 Elo 2183 (-31),43.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,MAN Wei Chong / TEE Kai Wun (7),7.0,2125,Satwiksairaj RANKIREDDY / Chirag SHETTY,22.0,2183
6/6/2025,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2475 (+12),21-18 / 23-21,GAO Fang jie Rank 14 Elo 2251 (-12),52.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,WANG Zhi Yi (2),2.0,2475,GAO Fang jie,14.0,2251
6/6/2025,Quarter final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2335 (+18),21-18 / 21-10,KIM Hye Rin / KONG Hee Yong (7) Rank 7 Elo 2216 (-17),45.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2335,KIM Hye Rin / KONG Hee Yong (7),7.0,2216
6/6/2025,Quarter final,WD,LI Yi jing / LUO Xu Min (5) Rank 6 Elo 2047 (+35),21-9 / 21-19,Yuki FUKUSHIMA / Mayu MATSUMOTO Rank 9 Elo 2149 (-34),40.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,LI Yi jing / LUO Xu Min (5),6.0,2047,Yuki FUKUSHIMA / Mayu MATSUMOTO,9.0,2149
6/6/2025,Quarter final,WD,BAEK Ha Na / LEE So Hee (3) Rank 3 Elo 2168 (+13),18-21 / 21-16 / 21-7,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI (8) Rank 10 Elo 1972 (-14),67.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,BAEK Ha Na / LEE So Hee (3),3.0,2168,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI (8),10.0,1972
6/6/2025,Quarter final,WS,HAN Yue (4) Rank 4 Elo 2361 (+0),W.O.,CHEN Yu Fei (5) Rank 5 Elo 2659 (-3),0.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,HAN Yue (4),4.0,2361,CHEN Yu Fei (5),5.0,2659
6/6/2025,Quarter final,XD,CHENG Chi Ya / ZHANG Chi Rank 11 Elo 2041 (+28),21-19 / 21-13,Hiroki MIDORIKAWA / Natsu SAITO (7) Rank 9 Elo 2055 (-29),42.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHENG Chi Ya / ZHANG Chi,11.0,2041,Hiroki MIDORIKAWA / Natsu SAITO (7),9.0,2055
6/6/2025,Quarter final,XD,Thom GICQUEL / Delphine DELRUE Rank 10 Elo 2038 (+15),21-11 / 23-21,Adnan MAULANA / Indah Cahya Sari JAMIL Rank 32 Elo 1874 (-17),43.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Thom GICQUEL / Delphine DELRUE,10.0,2038,Adnan MAULANA / Indah Cahya Sari JAMIL,32.0,1874
6/6/2025,Quarter final,WS,Akane YAMAGUCHI (3) Rank 3 Elo 2382 (+14),21-19 / 22-20,Putri Kusuma WARDANI Rank 12 Elo 2197 (-14),51.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Akane YAMAGUCHI (3),3.0,2382,Putri Kusuma WARDANI,12.0,2197
6/6/2025,Quarter final,XD,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (6) Rank 6 Elo 2223 (+14),21-16 / 21-12,GOH Soon Huat / LAI Shevon Jemie (3) Rank 5 Elo 2055 (-15),34.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (6),6.0,2223,GOH Soon Huat / LAI Shevon Jemie (3),5.0,2055
6/6/2025,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2703 (+5),21-11 / 21-10,Pornpawee CHOCHUWONG (6) Rank 8 Elo 2302 (-5),38.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,AN Se Young (1),1.0,2703,Pornpawee CHOCHUWONG (6),8.0,2302
6/6/2025,Quarter final,XD,CHEN Tang Jie / TOH Ee Wei (2) Rank 4 Elo 2099 (+23),17-21 / 21-16 / 21-14,Jesper TOFT / Amalie MAGELUND (5) Rank 8 Elo 2043 (-23),54.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHEN Tang Jie / TOH Ee Wei (2),4.0,2099,Jesper TOFT / Amalie MAGELUND (5),8.0,2043
5/6/2025,Round 2,MS,LI Shi Feng (4) Rank 4 Elo 2327 (+13),21-18 / 21-18,LEONG Jun Hao Rank 25 Elo 2155 (-14),54.0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,LI Shi Feng (4),4.0,2327,LEONG Jun Hao,25.0,2155
