date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2022-08-28,Final,XD,ZHENG .. / HUANG .. (1) Rank 2 Elo 2466 (+15),21-13 / 21-16,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2282 (-15),41,https://badmintonranks.com/tournament?id=10803,1
2022-08-28,Final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2445 (+38),21-12 / 10-21 / 21-14,CHEN Yu Fei (4) Rank 4 Elo 2562 (-37),68,https://badmintonranks.com/tournament?id=10803,1
2022-08-28,Final,MS,Viktor AXELSEN (1) Rank 1 Elo 2683 (+8),21-5 / 21-16,Kunlavut VITIDSARN (16) Rank 17 Elo 2350 (-7),50,https://badmintonranks.com/tournament?id=10803,1
2022-08-28,Final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2314 (+17),22-20 / 21-14,KIM So Y.. / KONG H.. (4) Rank 4 Elo 2162 (-17),62,https://badmintonranks.com/tournament?id=10803,1
2022-08-28,Final,MD,Aaron CH.. / SOH Wo.. (6) Rank 6 Elo 2193 (+24),21-19 / 21-14,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2131 (-24),40,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2414 (+31),21-19 / 21-12,AN Se Young (3) Rank 3 Elo 2449 (-31),43,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,XD,ZHENG .. / HUANG .. (1) Rank 2 Elo 2452 (+14),21-16 / 12-21 / 21-10,WANG Yi.. / HUANG .. (4) Rank 4 Elo 2260 (-14),59,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2534 (+28),15-21 / 21-14 / 21-18,TAI Tzu Ying (2) Rank 2 Elo 2538 (-29),71,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2268 (+14),21-8 / 21-6,Mark LA.. / Isabel LO.. (9) Rank 12 Elo 2063 (-13),28,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,MS,Viktor AXELSEN (1) Rank 1 Elo 2678 (+5),21-15 / 21-17,CHOU Tien Chen (4) Rank 4 Elo 2300 (-6),52,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,MS,Kunlavut VITIDSARN (16) Rank 17 Elo 2330 (+20),22-20 / 21-6,ZHAO Jun Peng Rank 23 Elo 2232 (-20),43,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,WD,KIM So Y.. / KONG H.. (4) Rank 4 Elo 2146 (+16),21-16 / 19-21 / 25-23,Puttita S.. / Sapsiree .. (14) Rank 20 Elo 1985 (-17),92,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,MD,Aaron CH.. / SOH Wo.. (6) Rank 6 Elo 2167 (+26),20-22 / 21-18 / 21-16,Satwiksai.. / Chirag S.. (7) Rank 7 Elo 2145 (-27),77,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2297 (+17),21-13 / 21-14,Mayu MA.. / Wakana .. (6) Rank 6 Elo 2156 (-18),52,https://badmintonranks.com/tournament?id=10803,1
2022-08-27,Semi final,MD,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2091 (+40),23-21 / 12-21 / 21-16,Fajar ALF.. / Muhamm.. (5) Rank 5 Elo 2239 (-40),52,https://badmintonranks.com/tournament?id=10803,1
2022-08-26,Quarter final,XD,WANG Yi.. / HUANG .. (4) Rank 4 Elo 2244 (+16),21-16 / 21-15,SEO Seu.. / CHAE Yu.. (5) Rank 6 Elo 2093 (-17),39,https://badmintonranks.com/tournament?id=10803,1
2022-08-26,Quarter final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2388 (+26),21-17 / 21-17,Carolina MARIN (5) Rank 5 Elo 2377 (-26),54,https://badmintonranks.com/tournament?id=10803,1
